id,created_at,ranking_position,title,artist,streams,genre,lyrics,album,year,duration_seg,language_variant,source,url_source,extra_data,lyrics_status,artist_gender
938,2026-03-06 18:50:59.622426+00,16.0,idilio,willie colon,1146284.0,reggaeton,,,,312.0,es,youtube,https://youtube.com/watch?v=z1mISUYDEiA,"{""pais"":""PE"",""posicion"":16,""thumbnail"":""https://i.ytimg.com/vi/z1mISUYDEiA/hqdefault.jpg"",""like_count"":""2615"",""es_infantil"":false,""comment_count"":""101"",""youtube_channel"":""SEIKO"",""youtube_video_id"":""z1mISUYDEiA"",""artistas_secundarios"":[]}",completed,
939,2026-03-06 18:51:01.280884+00,17.0,26is jeyceu jaico lilchori,g5,144767.0,reggaeton,,,,164.0,es,youtube,https://youtube.com/watch?v=mUUiKVWeT_w,"{""pais"":""PE"",""posicion"":17,""thumbnail"":""https://i.ytimg.com/vi/mUUiKVWeT_w/hqdefault.jpg"",""like_count"":""11712"",""error_letra"":""No encontrada en Genius"",""es_infantil"":false,""comment_count"":""796"",""youtube_channel"":""26is"",""youtube_video_id"":""mUUiKVWeT_w"",""artistas_secundarios"":[]}",error,
940,2026-03-06 18:51:02.569915+00,18.0,tu boda,oscar maydon,940405.0,reggaeton,,,,227.0,es,youtube,https://youtube.com/watch?v=hDdlYrzY4kc,"{""pais"":""PE"",""posicion"":18,""thumbnail"":""https://i.ytimg.com/vi/hDdlYrzY4kc/hqdefault.jpg"",""like_count"":""1334"",""es_infantil"":false,""comment_count"":""19"",""youtube_channel"":""Urbanmx Ly"",""youtube_video_id"":""hDdlYrzY4kc"",""artistas_secundarios"":[]}",completed,
941,2026-03-06 18:51:04.409173+00,19.0,calm down,rema,1844330.0,reggaeton,,,,220.0,es,youtube,https://youtube.com/watch?v=6zqivy_xRqE,"{""pais"":""PE"",""posicion"":19,""thumbnail"":""https://i.ytimg.com/vi/6zqivy_xRqE/hqdefault.jpg"",""like_count"":""5936"",""es_infantil"":false,""comment_count"":""32"",""youtube_channel"":""Moonshine"",""youtube_video_id"":""6zqivy_xRqE"",""artistas_secundarios"":[]}",completed,
942,2026-03-06 18:51:06.152085+00,20.0,tonto,j balvin,4273260.0,reggaeton,,,,202.0,es,youtube,https://youtube.com/watch?v=7hJ00483eN4,"{""pais"":""PE"",""posicion"":20,""thumbnail"":""https://i.ytimg.com/vi/7hJ00483eN4/hqdefault.jpg"",""like_count"":""116180"",""es_infantil"":false,""comment_count"":""4725"",""youtube_channel"":""jbalvinVEVO"",""youtube_video_id"":""7hJ00483eN4"",""artistas_secundarios"":[""ryan castro"",""dj snake""]}",completed,
943,2026-03-06 18:51:07.788807+00,21.0,flor palida,marc anthony,209852.0,reggaeton,,,,281.0,es,youtube,https://youtube.com/watch?v=gZMfP5iIevk,"{""pais"":""PE"",""posicion"":21,""thumbnail"":""https://i.ytimg.com/vi/gZMfP5iIevk/hqdefault.jpg"",""like_count"":""241"",""es_infantil"":false,""comment_count"":""1"",""youtube_channel"":""Love Trip"",""youtube_video_id"":""gZMfP5iIevk"",""artistas_secundarios"":[]}",completed,
945,2026-03-06 18:51:11.061021+00,23.0,historia de taxi,ricardo arjona,325471.0,bachata,,,,369.0,es,youtube,https://youtube.com/watch?v=vChbtu-Mlnk,"{""pais"":""PE"",""posicion"":23,""thumbnail"":""https://i.ytimg.com/vi/vChbtu-Mlnk/hqdefault.jpg"",""like_count"":""412"",""es_infantil"":false,""comment_count"":""4"",""youtube_channel"":""Bold Retro"",""youtube_video_id"":""vChbtu-Mlnk"",""artistas_secundarios"":[]}",completed,
946,2026-03-06 18:51:12.805362+00,24.0,lloviendo estrellas,cristian castro,138957.0,reggaeton,,,,258.0,es,youtube,https://youtube.com/watch?v=A0ZHOBWH8PU,"{""pais"":""PE"",""posicion"":24,""thumbnail"":""https://i.ytimg.com/vi/A0ZHOBWH8PU/hqdefault.jpg"",""like_count"":""216"",""es_infantil"":false,""comment_count"":""4"",""youtube_channel"":""Puro Rock"",""youtube_video_id"":""A0ZHOBWH8PU"",""artistas_secundarios"":[]}",completed,
947,2026-03-06 18:51:14.451407+00,25.0,imitadora,romeo santos,293256.0,reggaeton,,,,236.0,es,youtube,https://youtube.com/watch?v=a2mBKC5Unmg,"{""pais"":""PE"",""posicion"":25,""thumbnail"":""https://i.ytimg.com/vi/a2mBKC5Unmg/hqdefault.jpg"",""like_count"":""452"",""es_infantil"":false,""comment_count"":""13"",""youtube_channel"":""LyricHype"",""youtube_video_id"":""a2mBKC5Unmg"",""artistas_secundarios"":[]}",completed,
948,2026-03-06 18:51:16.111278+00,26.0,loco enamorado,abraham mateo farruko christian daniel,101293.0,reggaeton,,,,253.0,es,youtube,https://youtube.com/watch?v=6C3JSzCF82Q,"{""pais"":""PE"",""posicion"":26,""thumbnail"":""https://i.ytimg.com/vi/6C3JSzCF82Q/hqdefault.jpg"",""like_count"":""266"",""es_infantil"":false,""comment_count"":""3"",""youtube_channel"":""Musica Milagrosa"",""youtube_video_id"":""6C3JSzCF82Q"",""artistas_secundarios"":[""christian daniel""]}",completed,
